Variable,Coef.,Std.Err.,t-Stat,P>|t|,Significance
const,33.545,479.4961,0.07,0.9444,
creativity,28.4346,26.0973,1.0896,0.2783,
future-orientation,-2.693,25.378,-0.1061,0.9157,
self-confidence,35.9018,37.0264,0.9696,0.3344,
enthusiasm,-30.951,42.7775,-0.7235,0.4709,
proactive-personality,9.9954,32.8071,0.3047,0.7612,
trustworthiness,-13.2842,16.9202,-0.7851,0.4341,
