Variable,Coef.,Std.Err.,t-Stat,P>|t|,Significance
const,239.8386,402.3781,0.5961,0.5524,
creativity,25.7891,25.1525,1.0253,0.3075,
future-orientation,-68.9854,42.681,-1.6163,0.1089,
self-confidence,21.723,39.9551,0.5437,0.5878,
enthusiasm,-23.8297,41.5943,-0.5729,0.5679,
trustworthiness,-11.7504,16.8476,-0.6975,0.487,
proactive-personality,5.559,33.9344,0.1638,0.8702,
